VAS X BPI,-22.4632066667,-43.826365,57,15
VAS X BPI,-22.47101,-43.8249016667,59,16
VAS X BPI,-22.4103833333,-43.6719183333,69,3
VAS X BPI,-22.41307,-43.6714066667,83,2
VAS X BPI,-22.47101,-43.8249016667,59,16
TRS X ARE,-22.1153966667,-43.1978466667,158,1
TRS X ARE,-22.23554,-43.1021766667,453,5
MIR X ALP,-21.41608,-42.2016666667,552,1
MIR X ALP,-21.8814833333,-42.6938116667,378,7
TRS X WER URB,-22.1144716667,-43.2057083333,442,1
TRS X WER URB,-22.2202066667,-43.315735,447,11
TRS X PDS MICRO,-22.1144716667,-43.2057083333,442,1
TRS X PDS MICRO,-22.1199983333,-43.2141233333,157,2
TRS X PDS MICRO,-22.1374866667,-43.2527683333,436,5
TRS X PDS MICRO,-22.1341183333,-43.247665,437,4
TRS X PDS MICRO,-22.1261116667,-43.2335683333,438,3
TRS X PDS MICRO,-22.1144716667,-43.2057083333,442,1
TRS X PDS MICRO,-22.1635233333,-43.29211,443,7
TRS X PDS MICRO,-22.1434583333,-43.2867833333,534,6
TRS X PDS MICRO,-22.1635233333,-43.29211,443,7
BMA X MU,-22.5453933333,-44.1693483333,112,1
BMA X MU,-20.2488166667,-42.0296466667,329,127
VAS X BPI Micro,-22.4056,-43.6654633333,2,1
VAS X BPI Micro,-22.47101,-43.8249016667,59,17
WER X TRS URB,-22.2202066667,-43.315735,447,1
WER X TRS URB,-22.2202066667,-43.315735,447,1
WER X TRS URB,-22.2144016667,-43.3155566667,448,2
WER X TRS URB,-22.1144716667,-43.2057083333,442,13
TRS X ALP,-22.1153966667,-43.1978466667,158,1
TRS X ALP,-22.0998,-43.075475,256,7
TRS X ALP,-22.0936916667,-43.0704866667,257,8
TRS X ALP,-22.0865183333,-43.0574733333,258,9
TRS X ALP,-22.0738633333,-43.0382533333,259,10
TRS X ALP,-22.0565583333,-43.0237216667,260,11
TRS X ALP,-22.04997,-43.019985,261,12
TRS X ALP,-22.0434683333,-43.0041816667,262,13
TRS X ALP,-22.0411083333,-42.9921883333,263,14
TRS X ALP,-22.0308883333,-42.9837333333,264,15
TRS X ALP,-22.0150633333,-42.9555433333,265,16
TRS X ALP,-21.996905,-42.9177533333,266,17
TRS X ALP,-21.991365,-42.9076116667,267,18
TRS X ALP,-21.9690633333,-42.8757316667,268,19
TRS X ALP,-21.9608566667,-42.860105,269,20
TRS X ALP,-21.9597383333,-42.851925,270,21
TRS X ALP,-21.954225,-42.8420433333,271,22
TRS X ALP,-21.9471366667,-42.8370866667,272,23
TRS X ALP,-21.8814833333,-42.6938116667,378,28
TRS X PET DIR A/C,-22.1153966667,-43.1978466667,158,1
TRS X PET DIR A/C,-22.1520033333,-43.15878,183,4
TRS X PET DIR A/C,-22.5159083333,-43.229015,192,9
