linha,latitude',longitude,pc_id,pc_sequencia
TRS X JDF DIR A/C,-21.9207833333,-43.3224566667,212,6
TRS X JDF DIR A/C,-21.8205866667,-43.3760833333,213,7
TRS X JDF DIR A/C,-21.7818283333,-43.3623683333,215,8
TRS X JDF DIR A/C,-21.766465,-43.3485483333,216,9
TRS X JDF DIR A/C,-21.76182,-43.3381416667,217,10
TRS X JDF DIR A/C,-21.738605,-43.3740583333,219,11
TRS X JDF DIR A/C,-21.738605,-43.3740583333,219,11
PIR X ALP,-21.6589616667,-42.3445716667,550,1
PIR X ALP,-21.7746083333,-42.5343366667,574,2
PIR X ALP,-21.8814833333,-42.6938116667,378,4
TRS X API URB,-22.1144716667,-43.2057083333,442,1
TRS X API URB,-22.2285333333,-43.42327,146,14
TRS X API URB,-22.2005916667,-43.3650966667,149,11
TRS X API URB,-22.16637,-43.319645,150,10
TRS X API URB,-22.148115,-43.295755,151,9
TRS X API URB,-22.2141233333,-43.4054466667,166,12
TRS X API URB,-22.2214033333,-43.4157116667,167,13
TRS X API URB,-22.2403833333,-43.4192833333,168,15
TRS X API URB,-22.2386,-43.4216533333,450,16
TRS X API URB,-22.2386,-43.4216533333,450,16
ITP X BMA,-21.2003083333,-41.89834,350,1
ITP X BMA,-22.148255,-43.2854816667,153,74
ITP X BMA,-21.1919783333,-41.907035,406,2
ITP X BMA,-22.5453933333,-44.1693483333,112,119
RES x TRS,-22.4583316667,-44.4405833333,245,1
RES x TRS,-22.4681183333,-44.2815283333,246,2
RES x TRS,-22.5527366667,-44.17949,248,3
RES x TRS,-22.5629816667,-44.1700933333,249,4
RES x TRS,-22.5622416667,-44.16783,250,5
RES x TRS,-22.5552083333,-44.17299,251,6
RES x TRS,-22.1153966667,-43.1978466667,158,58
TRS X NIG,-22.1153966667,-43.1978466667,158,1
TRS X NIG,-22.6171183333,-43.7146933333,123,51
TRS X NIG,-22.6337883333,-43.71019,124,54
TRS X NIG,-22.7007633333,-43.7540316667,126,56
TRS X NIG,-22.7461516667,-43.4466716667,130,57
TRS X NIG,-22.3123733333,-43.5121733333,169,16
TRS X NIG,-22.325435,-43.535295,170,15
TRS X NIG,-22.3758833333,-43.6293816667,173,17
TRS X NIG,-22.3796466667,-43.63885,174,20
TRS X NIG,-22.39123,-43.6505166667,176,19
TRS X NIG,-22.75699,-43.45591,131,58
ALP X LEP,-21.8814833333,-42.6938116667,378,1
ALP X LEP,-21.8633083333,-42.6724466667,277,3
ALP X LEP,-21.8583833333,-42.662135,278,4
ALP X LEP,-21.7922733333,-42.7161233333,279,5
ALP X LEP,-21.6385283333,-42.7001616667,280,6
ALP X LEP,-21.5866983333,-42.6877583333,281,7
ALP X LEP,-21.5701816667,-42.6792616667,282,8
ALP X LEP,-21.550815,-42.6715533333,283,9
ALP X LEP,-21.5429533333,-42.65617,284,10
ALP X LEP,-21.53907,-42.643435,285,11
ALP X LEP,-21.5325633333,-42.634595,286,12
